receptor,ligand,seed,mode_rank,score_kcal_per_mol,pose_path
receptor_crystal,ZINC000329563636,4,9,-6.4,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000329563636__seed4.pdbqt
receptor_crystal,ZINC000329563636,5,1,-7.0,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000329563636__seed5.pdbqt
receptor_crystal,ZINC000329563636,5,2,-6.9,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000329563636__seed5.pdbqt
receptor_crystal,ZINC000329563636,5,3,-6.9,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000329563636__seed5.pdbqt
receptor_crystal,ZINC000329563636,5,4,-6.9,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000329563636__seed5.pdbqt
receptor_crystal,ZINC000329563636,5,5,-6.7,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000329563636__seed5.pdbqt
receptor_crystal,ZINC000329563636,5,6,-6.6,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000329563636__seed5.pdbqt
receptor_crystal,ZINC000329563636,5,7,-6.5,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000329563636__seed5.pdbqt
receptor_crystal,ZINC000329563636,5,8,-6.5,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000329563636__seed5.pdbqt
receptor_crystal,ZINC000329563636,5,9,-6.4,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000329563636__seed5.pdbqt
receptor_crystal,ZINC000543478179,1,1,-7.4,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000543478179__seed1.pdbqt
receptor_crystal,ZINC000543478179,1,2,-7.1,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000543478179__seed1.pdbqt
receptor_crystal,ZINC000543478179,1,3,-7.0,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000543478179__seed1.pdbqt
receptor_crystal,ZINC000543478179,1,4,-6.7,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000543478179__seed1.pdbqt
receptor_crystal,ZINC000543478179,1,5,-6.7,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000543478179__seed1.pdbqt
receptor_crystal,ZINC000543478179,1,6,-6.5,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000543478179__seed1.pdbqt
receptor_crystal,ZINC000543478179,1,7,-6.4,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000543478179__seed1.pdbqt
receptor_crystal,ZINC000543478179,1,8,-6.4,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000543478179__seed1.pdbqt
receptor_crystal,ZINC000543478179,1,9,-6.4,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000543478179__seed1.pdbqt
receptor_crystal,ZINC000543478179,2,1,-7.4,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000543478179__seed2.pdbqt
receptor_crystal,ZINC000543478179,2,2,-7.0,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000543478179__seed2.pdbqt
receptor_crystal,ZINC000543478179,2,3,-7.0,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000543478179__seed2.pdbqt
receptor_crystal,ZINC000543478179,2,4,-6.7,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000543478179__seed2.pdbqt
receptor_crystal,ZINC000543478179,2,5,-6.7,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000543478179__seed2.pdbqt
receptor_crystal,ZINC000543478179,2,6,-6.7,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000543478179__seed2.pdbqt
receptor_crystal,ZINC000543478179,2,7,-6.5,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000543478179__seed2.pdbqt
receptor_crystal,ZINC000543478179,2,8,-6.4,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000543478179__seed2.pdbqt
