lig_base,1,2,delta_score
lig_00012654,-5.4,-6.3,-0.8999999999999995
lig_00064575,-5.6,-6.4,-0.8000000000000007
lig_00093242,-6.2,-6.8,-0.5999999999999996
lig_00099587,-6.4,-7.0,-0.5999999999999996
lig_00059265,-5.9,-6.5,-0.5999999999999996
lig_00051735,-6.5,-7.1,-0.5999999999999996
lig_00014476,-5.9,-6.4,-0.5
lig_00031312,-5.5,-6.0,-0.5
lig_00012491,-5.9,-6.4,-0.5
lig_00033499,-5.9,-6.4,-0.5
lig_00052032,-6.7,-7.2,-0.5
lig_00012501,-5.5,-6.0,-0.5
lig_00063910,-5.8,-6.3,-0.5
lig_00079377,-6.1,-6.6,-0.5
lig_00050469,-6.3,-6.8,-0.5
lig_00031439,-5.3,-5.8,-0.5
lig_00058785,-6.3,-6.8,-0.5
lig_00064971,-6.5,-6.9,-0.40000000000000036
lig_00010259,-6.0,-6.4,-0.40000000000000036
lig_00010258,-6.0,-6.4,-0.40000000000000036
lig_00034314,-5.6,-6.0,-0.40000000000000036
lig_00051740,-6.3,-6.7,-0.40000000000000036
lig_00032245,-5.3,-5.7,-0.40000000000000036
lig_00048847,-6.1,-6.5,-0.40000000000000036
lig_00094615,-6.1,-6.5,-0.40000000000000036
lig_00012344,-5.3,-5.7,-0.40000000000000036
lig_00012318,-6.1,-6.5,-0.40000000000000036
lig_00086739,-6.1,-6.5,-0.40000000000000036
lig_00017919,-5.6,-6.0,-0.40000000000000036
lig_00076252,-6.3,-6.7,-0.40000000000000036
lig_00033498,-6.2,-6.6,-0.39999999999999947
lig_00064616,-5.9,-6.3,-0.39999999999999947
lig_00031267,-6.2,-6.6,-0.39999999999999947
lig_00064392,-6.6,-6.9,-0.3000000000000007
lig_00079379,-6.1,-6.4,-0.3000000000000007
lig_00011464,-6.1,-6.4,-0.3000000000000007
lig_00023142,-5.6,-5.9,-0.3000000000000007
lig_00035799,-5.4,-5.7,-0.2999999999999998
lig_00023147,-5.9,-6.2,-0.2999999999999998
lig_00052485,-5.7,-6.0,-0.2999999999999998
