#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
10000,-3616231.5286366623,300.66383571912894,0
20000,-3615172.782695323,301.1675425024451,56.5
30000,-3619268.671492981,300.68180038458036,56.3
40000,-3618931.263225574,300.27834202204673,56.2
50000,-3619246.726101011,301.8015684790272,56.2
60000,-3627015.6315065194,301.11802253073887,54.9
70000,-3631567.0077697057,302.0391233464177,54.1
80000,-3627600.8555391617,301.7109144945281,53.7
90000,-3628185.5037521925,299.39233592655114,53.3
100000,-3626326.903922623,300.1979203245171,53
