#"Step","Time (ps)","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)","Time Remaining"
112500,450.00000000069247,-3627989.9714906085,-3087189.034441389,302.18591223976006,0,--
125000,500.0000000009312,-3627834.7669176273,-3087796.5815311186,301.75970586470015,51.1,1:22:46:18
137500,550.00000000117,-3632260.9366534837,-3092850.6171476375,301.4088702597409,50.8,1:23:00:33
150000,600.0000000014087,-3628747.691029405,-3090409.5227893014,300.80977919664997,49.9,1:23:46:02
162500,650.0000000016474,-3629813.2677355483,-3092480.6097330092,300.2479254578921,50,1:23:40:02
175000,700.0000000018862,-3628482.9456332177,-3088976.1599351703,301.46277313285657,50.1,1:23:35:18
187500,750.0000000021249,-3626735.1483471934,-3087154.450022765,301.5040736427094,50.1,1:23:29:52
200000,800.0000000023637,-3625597.710845435,-3086571.1622564825,301.1944287588712,50.3,1:23:22:23
212500,850.0000000026024,-3628246.2371049933,-3091515.314680637,299.9116908063538,50.3,1:23:19:49
225000,900.0000000028411,-3628779.194368545,-3090815.4042098457,300.6005861751492,50.3,1:23:16:06
237500,950.0000000030799,-3629909.8872325495,-3090394.177430145,301.46775969710114,50.4,1:23:11:51
250000,1000.0000000033186,-3629042.9762288015,-3090792.238977131,300.7609249673252,50.4,1:23:07:30
262500,1050.0000000028183,-3628086.4526014905,-3089079.2551155146,301.1836158510057,50.5,1:23:01:15
275000,1100.000000001636,-3626061.2453615367,-3085480.892501722,302.0626553629048,50.6,1:22:56:22
287500,1150.0000000004536,-3627775.701041281,-3088271.3493680544,301.46141306122877,50.6,1:22:51:48
300000,1199.9999999992713,-3626579.582831247,-3088138.1028909697,300.86750716682,50.5,1:22:54:40
312500,1249.999999998089,-3628559.2506312914,-3089992.315595118,300.93760830755673,50.4,1:23:01:16
325000,1299.9999999969066,-3633709.157108424,-3096721.2470277273,300.05528902160364,50.3,1:23:05:19
337500,1349.9999999957242,-3631308.52259266,-3090688.2209043675,302.08497775983415,50.3,1:23:05:35
350000,1399.999999994542,-3627304.527414359,-3088431.804219874,301.1084750114417,50.3,1:23:02:50
362500,1449.9999999933596,-3628031.344711527,-3088913.618702834,301.2453763994399,50.3,1:23:01:02
375000,1499.9999999921772,-3628173.046750635,-3090379.336318287,300.5055499173693,50.3,1:22:57:58
387500,1549.9999999909949,-3630236.72267103,-3093009.407386588,300.1890626061751,50.4,1:22:54:10
400000,1599.9999999898125,-3629045.336499268,-3088467.890239341,302.06103122825874,50.4,1:22:51:06
412500,1649.9999999886302,-3628913.692358682,-3092081.4035005653,299.9683318107565,50.4,1:22:48:11
425000,1699.9999999874478,-3626127.970441276,-3088359.2460057735,300.4915883730512,50.4,1:22:46:45
437500,1749.9999999862655,-3627585.266094979,-3092250.2153089913,299.13171297068004,50.4,1:22:47:19
450000,1799.9999999850832,-3628248.0654967837,-3091080.4382305015,300.1557104483261,50.4,1:22:48:22
462500,1849.9999999839008,-3630532.6861086376,-3093225.0831380705,300.2339253384877,50.3,1:22:48:15
475000,1899.9999999827185,-3628889.805248536,-3089532.7015300673,301.37913462107514,50.3,1:22:50:19
487500,1949.9999999815361,-3627708.425337767,-3088774.520619938,301.14266170228734,50.3,1:22:49:43
500000,1999.9999999803538,-3629614.3996208124,-3091175.7676689485,300.86591578278626,50.3,1:22:47:21
512500,2049.9999999791717,-3625247.208878847,-3084716.158436949,302.03510641630896,50.3,1:22:45:41
525000,2099.9999999779893,-3628796.0984268654,-3088941.5270640394,301.65710698321675,50.3,1:22:43:28
537500,2149.999999976807,-3630282.7801994607,-3095533.577687635,298.8043557435869,50.3,1:22:41:35
550000,2199.9999999756246,-3627320.8903661873,-3088194.5310197975,301.2502004906143,50.3,1:22:41:22
562500,2249.9999999744423,-3630091.3367699347,-3091011.0259369076,301.22446974374515,50.3,1:22:39:00
575000,2299.99999997326,-3630245.9445256907,-3091319.2309548147,301.1386434708954,50.3,1:22:36:42
587500,2349.9999999720776,-3629351.535266282,-3091702.2303229664,300.4248597753115,50.3,1:22:34:30
600000,2399.9999999708953,-3627828.146089727,-3089820.584487129,300.6250445530817,50.3,1:22:32:23
612500,2449.999999969713,-3626955.864274211,-3089044.5980428075,300.57123713043273,50.3,1:22:30:26
625000,2499.9999999685306,-3629374.389477512,-3090714.00022223,300.98982816613915,50.3,1:22:28:39
637500,2549.9999999673482,-3628990.847451778,-3088436.693901163,302.0480158502707,50.4,1:22:26:42
650000,2599.999999966166,-3626461.1171519663,-3088362.889579769,300.67570640822197,50.4,1:22:24:52
662500,2649.9999999649835,-3628113.928901121,-3090004.0387070505,300.6822231869262,50.4,1:22:23:00
675000,2699.999999963801,-3630330.998038782,-3091545.5612764447,301.05970155651994,50.4,1:22:21:06
687500,2749.999999962619,-3628798.9465215914,-3088961.1346999933,301.64774217463787,50.4,1:22:19:20
700000,2799.9999999614365,-3625055.4938761014,-3084450.914472867,302.07619254381984,50.4,1:22:17:40
712500,2849.999999960254,-3630809.593307253,-3092656.979011896,300.70609633624485,50.4,1:22:16:03
725000,2899.999999959072,-3628396.7709331457,-3090630.455236084,300.49024243081396,50.4,1:22:14:30
737500,2949.9999999578895,-3628529.6832721066,-3088647.9717633603,301.67227221166104,50.4,1:22:12:44
750000,2999.999999956707,-3624593.266949786,-3086632.02798442,300.599160632714,50.4,1:22:11:12
762500,3049.999999955525,-3628502.064713968,-3089178.2944015036,301.36050875523176,50.4,1:22:09:25
775000,3099.9999999543425,-3629976.3025380466,-3092069.2019140464,300.56890949416766,50.4,1:22:07:41
787500,3149.99999995316,-3629492.6141889226,-3089950.1171247386,301.48272774279536,50.4,1:22:05:54
800000,3199.9999999519778,-3622870.8109223563,-3084415.6489126654,300.87515236183333,50.4,1:22:03:58
812500,3249.9999999507954,-3626907.200005466,-3086431.1668209597,302.0043641616737,50.4,1:22:02:10
825000,3299.999999949613,-3629067.5552065186,-3088119.5524593303,302.26808883942033,50.4,1:22:00:35
837500,3349.9999999484307,-3630126.0439992566,-3092849.026318487,300.21683505061054,50.4,1:21:58:49
850000,3399.9999999472484,-3626644.656199809,-3087259.16563855,301.39499647226023,50.5,1:21:57:10
862500,3449.999999946066,-3628387.5507337954,-3090416.483291435,300.6046525375594,50.5,1:21:55:35
875000,3499.9999999448837,-3627063.390706163,-3087872.2097719926,301.2864211575811,50.5,1:21:54:00
887500,3549.9999999437014,-3628679.3505748212,-3088207.7672258676,302.0018777058935,50.5,1:21:52:29
900000,3599.999999942519,-3625588.7817593757,-3086252.089237298,301.36772935976956,50.5,1:21:50:54
912500,3649.9999999413367,-3629414.5579767395,-3091517.666831472,300.56320469516874,50.5,1:21:49:22
925000,3699.9999999401543,-3628663.2880195547,-3089602.7261805846,301.213434504388,50.5,1:21:48:01
937500,3749.999999938972,-3630376.694267299,-3092104.5698203025,300.7728755921983,50.5,1:21:46:31
950000,3799.9999999377897,-3626487.172047112,-3088073.5763343647,300.85192616435523,50.5,1:21:45:02
962500,3849.9999999366073,-3626899.0864045024,-3089318.3701001345,300.38653417524347,50.5,1:21:43:33
975000,3899.999999935425,-3627675.574264629,-3089261.06240552,300.8524380838157,50.5,1:21:41:56
987500,3949.9999999342426,-3627470.98869659,-3089564.513282812,300.56856014247757,50.5,1:21:40:30
1000000,3999.9999999330603,-3629066.893412141,-3091363.4166795714,300.4551296036936,50.5,1:21:39:08
1012500,4049.999999931878,-3628360.5426643863,-3088317.7945199385,301.7622554186594,50.5,1:21:37:41
1025000,4099.999999930696,-3628781.0586212166,-3091281.3746893522,300.3412553309805,50.5,1:21:36:10
1037500,4149.999999929513,-3629119.503794253,-3090962.312927205,300.70865360897994,50.5,1:21:34:37
1050000,4199.999999928331,-3629348.834184425,-3091954.933047744,300.28214657529634,50.5,1:21:33:06
1062500,4249.999999927149,-3628850.264105253,-3090822.532543033,300.63631501737024,50.5,1:21:31:46
1075000,4299.999999925966,-3627028.17190204,-3088982.3328246176,300.64643303977925,50.5,1:21:30:17
1087500,4349.999999924784,-3627012.831166396,-3089926.7389238398,300.1101507352481,50.5,1:21:28:48
1100000,4399.9999999236015,-3628862.3810390104,-3090367.2139424705,300.89750619452025,50.5,1:21:27:21
1112500,4449.999999922419,-3630884.5561885536,-3093198.3868879243,300.445458647615,50.5,1:21:26:03
1125000,4499.999999921237,-3627139.559195053,-3088141.2898633983,301.1786270237437,50.5,1:21:24:46
1137500,4549.9999999200545,-3628070.9533906113,-3088552.988933823,301.4690195410568,50.5,1:21:23:28
1150000,4599.999999918872,-3626666.3540213555,-3086347.0316043636,301.91679814062064,50.5,1:21:22:12
1162500,4649.99999991769,-3627345.2982398085,-3089490.5659780926,300.5396473752524,50.5,1:21:20:52
1175000,4699.9999999165075,-3630971.2098417785,-3091624.6552989543,301.37324000801675,50.5,1:21:19:39
1187500,4749.999999915325,-3627559.9508458097,-3089057.5549434675,300.90154546872674,50.5,1:21:18:14
1200000,4799.999999914143,-3629335.743245445,-3089506.5412965557,301.6429311951066,50.5,1:21:16:51
1212500,4849.99999991296,-3631151.73937675,-3091021.4981962303,301.8111443186384,50.5,1:21:15:30
1225000,4899.999999911778,-3626753.9909320883,-3088078.788953928,300.99810514176755,50.5,1:21:14:14
1237500,4949.999999910596,-3630630.4031463657,-3093219.6958286203,300.2915374450384,50.5,1:21:12:56
1250000,4999.999999909413,-3627449.852676876,-3089661.4013352883,300.5026112702073,50.4,1:21:11:43
1262500,5049.999999908231,-3628101.357979616,-3088455.0887416564,301.5407130139908,50.4,1:21:10:30
1275000,5099.999999907049,-3628116.7325481344,-3090505.6598636894,300.40349655414747,50.4,1:21:09:11
1287500,5149.999999905866,-3627688.8245904557,-3089266.405060558,300.85685669064003,50.4,1:21:07:57
1300000,5199.999999904684,-3629499.399936244,-3089404.8597576544,301.7911954999568,50.4,1:21:06:42
1312500,5249.999999903502,-3630018.924833361,-3090165.5009249924,301.6564658146308,50.4,1:21:05:25
1325000,5299.999999902319,-3631316.830287546,-3093607.5041667433,300.45839809418254,50.4,1:21:04:16
1337500,5349.999999901137,-3630554.618309872,-3091822.5357278194,301.0298885873914,50.4,1:21:02:56
1350000,5399.999999899955,-3628545.2685330566,-3091116.531599788,300.301611939073,50.4,1:21:01:30
1362500,5449.999999898772,-3625555.771513218,-3085323.7148091346,301.86803626308705,50.4,1:21:00:08
1375000,5499.99999989759,-3632375.1070695817,-3092355.433937757,301.749361684086,50.4,1:20:58:46
1387500,5549.999999896408,-3630313.4919516873,-3092180.332562778,300.6952254256202,50.4,1:20:57:25
1400000,5599.999999895225,-3630102.1658266485,-3092451.987448861,300.42534782844626,50.4,1:20:56:08
1412500,5649.999999894043,-3626244.1460974775,-3088143.8872701116,300.6768414223353,50.4,1:20:54:46
1425000,5699.999999892861,-3627658.889421124,-3088551.504912844,301.23959783005836,50.4,1:20:53:26
1437500,5749.999999891678,-3630101.5828446504,-3090531.1720852274,301.4983252110724,50.4,1:20:52:04
1450000,5799.999999890496,-3630319.9319091085,-3092331.6599455555,300.6142659897098,50.4,1:20:50:43
1462500,5849.999999889314,-3629961.1928109713,-3092793.8296317696,300.15556288313167,50.4,1:20:49:26
