#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
10000,-3616692.3511746116,301.6253194917507,0
20000,-3619207.1282541472,300.5033094903663,56.1
30000,-3619474.720486829,301.2708411215248,55.5
40000,-3619320.346629979,300.99815672506855,55.4
50000,-3620194.7989302315,300.665606921379,55.2
60000,-3626368.0808996633,300.24305814809605,54
70000,-3627883.554097539,301.72407839121627,53.4
80000,-3627896.2726643905,300.5765733303441,52.6
90000,-3629238.145197669,301.40000207766553,52.3
100000,-3632170.9924640525,300.74445659484485,52.1
