Tier,ZINC ID,Ligand ID,chunk,MW (Da),LogP,TPSA,BBB Penetration,QED,LD50 (mg/kg),ProTox Risk Band,SMILES
1A,ZINC001016817530_1,lig_00036165,109,344.386,3.06854,62.55,0.950219548,0.927091442,600,GREEN (advance),Cc1cocc1C(=O)NC1CC(N(C)C(=O)c2ccc(F)cc2C)C1
1A,ZINC000377789340_1,lig_00009133,28,323.396,2.2332,62.3,0.827494764,0.917673306,590,GREEN (advance),CCN1C[C@H](C(=O)NCc2ccc(-c3ccncc3)cc2)CC1=O
1A,ZINC000356232138_1,lig_00005976,120,324.302,2.83578,69.96,0.983242106,0.865910652,560,GREEN (advance),N#Cc1ccc(C(=O)CNC(=O)[C@@H]2CC[C@@H](C(F)(F)F)C2)cc1
1A,ZINC000356230410_1,lig_00005898,120,338.329,3.22588,69.96,0.980891192,0.857078254,560,GREEN (advance),N#Cc1ccc(C(=O)CNC(=O)C2CCC(C(F)(F)F)CC2)cc1
1A,ZINC000356177604_1,lig_00005950,120,296.37,2.82758,69.96,0.859308267,0.868515453,560,GREEN (advance),N#Cc1ccc(C(=O)CNC(=O)[C@@H]2CC23CCCCC3)cc1
1A,ZINC000626514229_1,lig_00070274,82,381.423,2.0793,69.72,0.938293934,0.868238501,525,GREEN (advance),C[C@H](C(=O)NC(C)(C)C)N(C)C(=O)[C@H]1CC(=O)N(c2ccc(F)c(F)c2)C1
1A,ZINC000533369446_1,lig_00003113,1,385.289,2.5676,60.21,0.936912429,0.734590984,500,GREEN (advance),Brc1cccc(C2([NH2+]Cc3nnnn3-c3ccccc3)CCC2)c1
1A,ZINC000519619338_1,lig_00003716,1,405.345,3.0192,60.21,0.865398133,0.710107006,500,GREEN (advance),Brc1ccccc1-n1cc(C[NH2+]C2(c3nccs3)CCCC2)nn1
1A,ZINC000580863573_1,lig_00003735,1,429.342,3.0098,69.44,0.630431223,0.627169828,500,GREEN (advance),Brc1ccccc1-n1cc(C[NH2+]Cc2ccc(OC3CCCC3)nc2)nn1
1A,ZINC001553587396_1,lig_00002540,28,357.454,2.1107,69.72,0.702872038,0.900706262,500,GREEN (advance),CCN1CCN(C(=O)c2ccc([C@H]3CCCC(=O)N3)cc2)C(C)(C)C1=O
1A,ZINC000664846513_1,lig_00003525,28,355.438,2.2572,61.88,0.98612442,0.885131809,500,GREEN (advance),CCN1CC[C@H](NC(=O)N2CCC3(C=Cc4ccccc4O3)CC2)C1=O
1A,ZINC000189775572_1,lig_00005305,28,365.861,2.2194,61.88,0.977974451,0.889503335,500,GREEN (advance),CCN1CN(C(=O)NCC2(c3cccc(Cl)c3)CCOCC2)CC1=O
1A,ZINC000565758585_1,lig_00012036,28,371.481,2.52854,69.72,0.967431343,0.827105894,500,GREEN (advance),CCN1C[C@H](NC(=O)N2CCC(C(=O)c3ccc(C)cc3C)CC2)CC1=O
1A,ZINC001767166858_1,lig_00013387,28,379.455,3.22442,63.05,0.896864665,0.802337736,500,GREEN (advance),CCNC(=O)C(C)(C)Cn1c(C)nnc1N(C)[C@H](C)c1ccc(F)c(F)c1
1A,ZINC001695917563_1,lig_00013786,28,391.466,3.36852,63.05,0.960365593,0.786115871,500,GREEN (advance),CCNC(=O)C1(Cn2c(C)nnc2N(C)[C@H](C)c2ccc(F)c(F)c2)CCC1
1A,ZINC000557141585_1,lig_00009826,120,305.381,2.73388,65.78,0.908104205,0.923383578,500,GREEN (advance),N#Cc1ccc(CC(=O)NCC2(c3ccccn3)CCC2)cc1
1A,ZINC001181803968_1,lig_00056076,120,291.354,2.68958,65.78,0.904363811,0.945161816,500,GREEN (advance),N#Cc1ccccc1CC(=O)N[C@@H]1CCCc2cccnc21
1A,ZINC001182341985_1,lig_00048299,120,305.381,3.07968,65.78,0.895394492,0.943682803,500,GREEN (advance),N#Cc1cccc(CCC(=O)N[C@@H]2CCCc3cccnc32)c1
1A,ZINC001180489420_1,lig_00001524,82,375.318,2.4654,66.84,0.983870459,0.766187943,500,GREEN (advance),C[C@@](O)(C(=O)N1CCC2(CC1)CC(=O)c1cc(F)ccc1O2)C(F)(F)F
1A,ZINC001588321543_1,lig_00000866,1,362.275,2.0445,69.38,0.810893965,0.90392828,496,GREEN (advance),Brc1ccc(-c2nn[n-]n2)cc1C[NH2+]C1CCC2(CC1)CC2
1A,ZINC001271456809_1,lig_00016712,28,398.29,2.1941,69.72,0.733672583,0.845662269,460,GREEN (advance),CCNC(=O)CN1CC[C@]2(CCN(C(=O)c3ccc(Cl)c(Cl)c3)C2)C1=O
1A,ZINC000278284893_1,lig_00009915,120,305.381,2.69098,65.78,0.897950089,0.944158507,450,GREEN (advance),N#Cc1ccc(CC(=O)NCc2ccc3c(n2)CCCC3)cc1
1A,ZINC001257366747_1,lig_00005254,1,415.315,2.0641,61.18,0.516030431,0.709030207,449,GREEN (advance),Brc1cnn(Cc2cccc(-c3nnc(C45CC[NH+](CC4)CC5)o3)c2)c1
1A,ZINC000836001802_1,lig_00018590,28,347.455,3.27332,64.63,0.889996004,0.768980959,435,GREEN (advance),CCNC(=O)C[C@H](C)OC(=O)C1(c2ccc(C)c(OC)c2)CCCC1
1A,ZINC000651088388_1,lig_00008186,28,325.412,2.13114,62.3,0.974423957,0.936556508,400,GREEN (advance),CCN1C[C@@H](NC(=O)Cc2c(C)nc3ccccc3c2C)CC1=O
1A,ZINC001296240089_1,lig_00013477,28,355.486,3.39412,63.05,0.951537693,0.826775652,397,GREEN (advance),CCNC(=O)C(C)(C)Cn1c(C2CC2)nnc1N(C)c1ccc(C)cc1
1A,ZINC000939173896_1,lig_00001885,109,341.411,2.39152,69.55,0.934984732,0.931832652,370,GREEN (advance),Cc1coc(C(=O)N2CC[C@@H](N(C)C(=O)c3cc4c([nH]3)CCC4)C2)c1
1A,ZINC000567302976_1,lig_00005879,28,314.385,2.4763,66.48,0.97001524,0.849112011,350,GREEN (advance),CCN1C[C@@H](C(=O)Nc2ccc(C(=O)C3CCC3)cc2)CC1=O
1A,ZINC000177977648_1,lig_00009568,28,300.358,2.0125,66.48,0.990794671,0.928320482,350,GREEN (advance),CCN1C[C@H](C(=O)Nc2ccc3c(c2)C(=O)CCC3)CC1=O
1A,ZINC000160978497_1,lig_00010466,120,326.44,3.48898,62.12,0.915720809,0.921045615,350,GREEN (advance),N#Cc1ccc(CCC(=O)N[C@@H]2CCOC3(CCCCC3)C2)cc1
1A,ZINC000652843266_1,lig_00010903,28,325.412,2.152,62.3,0.980393565,0.885053316,333,GREEN (advance),CCN1C[C@H](CNC(=O)CCc2ccc3ccccc3n2)CC1=O
1A,ZINC000533259551_1,lig_00047678,120,310.397,2.80778,62.12,0.931820309,0.933529675,326,GREEN (advance),N#Cc1cccc(C2(C(=O)N[C@H]3CCOC4(CCC4)C3)CC2)c1
1A,ZINC000340318430_1,lig_00009131,28,312.369,2.4312,62.55,0.929065359,0.922086868,316,GREEN (advance),CCN1C[C@H](C(=O)NCc2ccc(-c3ccccc3)o2)CC1=O
1B,ZINC000057024870_1,lig_00016056,28,379.888,2.1768,69.72,0.874037802,0.823107429,300,YELLOW (proceed with caution; monitoring/backup),CCNC(=O)CN(CC)C(=O)[C@@H]1CCCN(C(=O)c2ccc(Cl)cc2)C1
1B,ZINC000264720070_1,lig_00014261,28,359.47,2.056,69.72,0.946306968,0.810049755,300,YELLOW (proceed with caution; monitoring/backup),CCNC(=O)CCCC(=O)N(C)C1CCN(C(=O)c2ccccc2)CC1
1B,ZINC000782025922_1,lig_00012965,120,291.354,2.68958,65.78,0.907014358,0.945161816,300,YELLOW (proceed with caution; monitoring/backup),N#Cc1ccc(CNC(=O)[C@@H]2CCCc3ccccc32)nc1
1B,ZINC000292969927_1,lig_00072181,82,325.359,2.0937,62.3,0.984124768,0.921938045,300,YELLOW (proceed with caution; monitoring/backup),C[C@H](C(=O)NC1CCN(C(=O)c2ccncc2)CC1)C(C)(F)F
1B,ZINC000812670894_1,lig_00002463,82,358.413,3.0944,64.35,0.988788581,0.834472929,300,YELLOW (proceed with caution; monitoring/backup),C[C@@](O)(C(=O)OCc1nn(-c2ccc(F)cc2)c2c1CCC2)C1CCC1
1B,ZINC000452977015_1,lig_00011872,28,382.508,2.52626,67.23,0.792232072,0.800146226,275,YELLOW (proceed with caution; monitoring/backup),CCN1C[C@H](NC(=O)CCc2c(C)nn(Cc3ccc(C)cc3)c2C)CC1=O
1B,ZINC001588322160_1,lig_00003070,1,398.308,2.4436,69.38,0.833680356,0.692739598,270,YELLOW (proceed with caution; monitoring/backup),Brc1cccc(C2(C[NH2+]Cc3ccc(-c4nn[n-]n4)cc3)CCC2)c1
1B,ZINC001273398010_1,lig_00006463,82,365.38,2.3525,61.88,0.956128895,0.875226296,250,YELLOW (proceed with caution; monitoring/backup),C[C@@]1(C(=O)N2CC3(CCN3C(=O)Nc3cc(F)ccc3F)C2)CCCO1
1B,ZINC001275957994_1,lig_00006464,82,365.38,2.21,61.88,0.933851802,0.874176573,250,YELLOW (proceed with caution; monitoring/backup),C[C@@]1(C(=O)N2CC3(CCN3C(=O)Nc3cc(F)ccc3F)C2)CCOC1
1B,ZINC000236669732_1,lig_00002871,1,374.262,2.5104,60.46,0.794673264,0.746723535,240,YELLOW (proceed with caution; monitoring/backup),Brc1cccc(-c2ccc(C[NH2+]Cc3nnc4n3CCC4)o2)c1
1B,ZINC000063779174_1,lig_00005449,28,340.427,2.1373,69.3,0.845240939,0.9305566,200,YELLOW (proceed with caution; monitoring/backup),CCN1C[C@@H](C(=O)N2CCC(c3c[nH]c4ncccc34)CC2)CC1=O
1B,ZINC000629445700_1,lig_00005556,28,323.396,2.2332,62.3,0.927170765,0.917673306,200,YELLOW (proceed with caution; monitoring/backup),CCN1C[C@@H](C(=O)NCc2ccnc(-c3ccccc3)c2)CC1=O
1B,ZINC000652831648_1,lig_00007244,28,325.412,2.152,62.3,0.975502956,0.885053316,200,YELLOW (proceed with caution; monitoring/backup),CCN1C[C@@H](CNC(=O)CCc2cnc3ccccc3c2)CC1=O
1B,ZINC000121655081_1,lig_00013956,28,300.358,2.1308,62.55,0.953247535,0.940597982,200,YELLOW (proceed with caution; monitoring/backup),CCNC(=O)C1CN(C(=O)[C@@H](C)c2cc3ccccc3o2)C1
1B,ZINC000854756075_1,lig_00014177,28,339.439,2.8571,62.3,0.985305429,0.910985805,200,YELLOW (proceed with caution; monitoring/backup),CCNC(=O)CCC(=O)N1CCC(c2ccnc3ccccc23)CC1
1B,ZINC000165500068_1,lig_00016265,28,325.412,2.65522,62.3,0.898509157,0.887954327,200,YELLOW (proceed with caution; monitoring/backup),CCNC(=O)CN(CC)C(=O)c1cccc(-c2ccccn2)c1C
1B,ZINC000367967684_1,lig_00017794,120,323.371,3.22058,65.78,0.958748043,0.939259256,200,YELLOW (proceed with caution; monitoring/backup),N#Cc1ccc(F)c(CNC(=O)C2(c3cccnc3)CCCC2)c1
1B,ZINC000986767070_1,lig_00039941,109,343.427,2.59722,67.48,0.821868122,0.927738867,200,YELLOW (proceed with caution; monitoring/backup),Cc1cocc1C(=O)N[C@@H](C)C1CCN(C(=O)c2cccn2C)CC1
1B,ZINC000131644072_1,lig_00014188,28,334.391,2.1633,66.48,0.986479473,0.8109,193,YELLOW (proceed with caution; monitoring/backup),CCNC(=O)CCC(=O)N1CCC[C@@H](C(=O)c2ccc(F)cc2)C1
1B,ZINC001257379751_1,lig_00005255,1,429.342,2.6686,61.18,0.63074308,0.67779989,182,YELLOW (proceed with caution; monitoring/backup),Brc1cnn(Cc2cccc(-c3nnc(C4CC[NH+](C5CC5)CC4)o3)c2)c1
1B,ZINC000932374482_1,lig_00003631,1,386.273,3.1088,68.42,0.878196645,0.70704477,159,YELLOW (proceed with caution; monitoring/backup),Brc1ccccc1-c1nnc(C[NH2+][C@@H](c2ccccn2)C2CC2)o1
1B,ZINC001257372419_1,lig_00005265,1,415.315,2.136,61.18,0.510299134,0.709614437,105,YELLOW (proceed with caution; monitoring/backup),Brc1cnn(Cc2cccc(-c3nnc([C@H]4C[NH+]5CCC4CC5)o3)c2)c1
1C,ZINC001177687927_1,lig_00015395,28,358.463,2.6771,66.48,0.740768206,0.774028333,71,RED (do not advance without strong justification),CCNC(=O)CN(C)C(=O)[C@H](C)c1ccc(C(=O)c2cccs2)cc1
1C,ZINC000284841137_1,lig_00004971,1,386.273,3.1088,68.42,0.884121978,0.70704477,9,RED (do not advance without strong justification),Brc1cncc([C@H]([NH2+]Cc2nnc(-c3ccccc3)o2)C2CC2)c1
