Tier,ZINC ID,Ligand ID,chunk,MW (Da),LogP,TPSA,BBB Penetration,QED,LD50 (mg/kg),ProTox Risk Band,SMILES
1A,ZINC001155139806_1,lig_00002239,28,358.36,2.2081,60.85,0.936903346,0.901255404,1600,GREEN (advance),CCN1CCN(C(=O)[C@H](O)c2ccc(C(F)(F)F)cc2)C(C)(C)C1=O
1A,ZINC000435351830_1,lig_00047578,120,295.317,2.44038,65.78,0.961606896,0.941810623,1600,GREEN (advance),N#Cc1cccc(C2(C(=O)NCc3ccc(F)cn3)CC2)c1
1A,ZINC000766940351_1,lig_00011712,120,311.307,2.93818,65.78,0.982769465,0.933072462,1600,GREEN (advance),N#Cc1ccc(CNC(=O)C2CCC(C(F)(F)F)CC2)nc1
1A,ZINC000781062110_1,lig_00012058,120,291.354,2.30088,65.78,0.900453591,0.93964868,1600,GREEN (advance),N#Cc1ccc(CNC(=O)Cc2ccc3c(c2)CCC3)nc1
1A,ZINC000781056905_1,lig_00012060,120,305.381,2.69098,65.78,0.896039057,0.944158507,1600,GREEN (advance),N#Cc1ccc(CNC(=O)Cc2ccc3c(c2)CCCC3)nc1
1A,ZINC000823826077_1,lig_00001925,1,384.281,2.473,69.38,0.835172784,0.709106894,1500,GREEN (advance),Brc1ccc([C@@H]([NH2+]Cc2ccc(-c3nn[n-]n3)cc2)C2CC2)cc1
1A,ZINC001602681992_1,lig_00003097,1,384.281,2.4011,69.38,0.891931736,0.733658797,1500,GREEN (advance),Brc1cccc(C2([NH2+]Cc3cccc(-c4nn[n-]n4)c3)CCC2)c1
1A,ZINC001588320882_1,lig_00000869,1,398.308,2.4436,69.38,0.857646942,0.692739598,1500,GREEN (advance),Brc1ccc(-c2nn[n-]n2)cc1C[NH2+]CC1(c2ccccc2)CCC1
1A,ZINC000823827184_1,lig_00001995,1,384.281,2.473,69.38,0.868739641,0.709106894,1500,GREEN (advance),Brc1ccc([C@H]([NH2+]Cc2cccc(-c3nn[n-]n3)c2)C2CC2)cc1
1A,ZINC001609018251_1,lig_00003098,1,384.281,2.4011,69.38,0.924133515,0.733658797,1500,GREEN (advance),Brc1cccc(C2([NH2+]Cc3ccccc3-c3nn[n-]n3)CCC2)c1
1A,ZINC001609018178_1,lig_00003158,1,384.281,2.2679,69.38,0.922601259,0.732919658,1500,GREEN (advance),Brc1cccc(C2CC([NH2+]Cc3cccc(-c4nn[n-]n4)c3)C2)c1
1A,ZINC000450815689_1,lig_00000157,28,340.423,2.5572,60.85,0.819320452,0.930398802,1500,GREEN (advance),CCN1CCN(C(=O)CCc2ccc3ccccc3c2O)[C@@H](C)C1=O
1A,ZINC000544534662_1,lig_00001894,28,359.47,3.2319,61.88,0.978346503,0.877881857,1500,GREEN (advance),CCN1CCN(C(=O)Nc2cccc(COC3CCCCC3)c2)CC1=O
1A,ZINC000524846760_1,lig_00005499,28,422.525,3.2559,67.87,0.456834167,0.743818455,1500,GREEN (advance),CCN1C[C@@H](C(=O)NC2(c3ccc(OCc4ccccc4)cc3)CCOCC2)CC1=O
